sample_ID_1,group_1,sample_ID_2,group_2,epitope_region,similarity
254,vaccinated_human,256,vaccinated_human,CTDN,1.086431300856704
254,vaccinated_human,260,vaccinated_human,CTDN,0.9916979934078484
254,vaccinated_human,262,vaccinated_human,CTDN,1.0832034088444984
254,vaccinated_human,266,vaccinated_human,CTDN,1.0429034533412693
254,vaccinated_human,268,vaccinated_human,CTDN,1.098359397463889
254,vaccinated_human,272,vaccinated_human,CTDN,1.0341907466265228
254,vaccinated_human,274,vaccinated_human,CTDN,1.0016182550861457
254,vaccinated_human,278,vaccinated_human,CTDN,0.9711252235938951
254,vaccinated_human,282,vaccinated_human,CTDN,1.0080977045796076
254,vaccinated_human,284,vaccinated_human,CTDN,1.0728732585711656
254,vaccinated_human,286,vaccinated_human,CTDN,1.0276391719342333
254,vaccinated_human,290,vaccinated_human,CTDN,1.0224988796701602
254,vaccinated_human,296,vaccinated_human,CTDN,1.0534221542148963
254,vaccinated_human,300,vaccinated_human,CTDN,1.005009440848872
256,vaccinated_human,260,vaccinated_human,CTDN,1.2583000949449878
256,vaccinated_human,262,vaccinated_human,CTDN,1.2613013252227079
256,vaccinated_human,266,vaccinated_human,CTDN,1.31970735941898
256,vaccinated_human,268,vaccinated_human,CTDN,1.2453145667925862
256,vaccinated_human,272,vaccinated_human,CTDN,1.240414325977733
256,vaccinated_human,274,vaccinated_human,CTDN,1.2439817485155877
256,vaccinated_human,278,vaccinated_human,CTDN,1.3035200638592628
256,vaccinated_human,282,vaccinated_human,CTDN,1.157632724192534
256,vaccinated_human,284,vaccinated_human,CTDN,1.2672445319244248
256,vaccinated_human,286,vaccinated_human,CTDN,1.211033412081711
256,vaccinated_human,290,vaccinated_human,CTDN,1.2755553009924179
256,vaccinated_human,296,vaccinated_human,CTDN,1.2030204645486642
256,vaccinated_human,300,vaccinated_human,CTDN,1.1585949105469457
260,vaccinated_human,262,vaccinated_human,CTDN,1.2815517640617942
260,vaccinated_human,266,vaccinated_human,CTDN,1.3089038244412725
260,vaccinated_human,268,vaccinated_human,CTDN,1.1835208933270094
260,vaccinated_human,272,vaccinated_human,CTDN,1.2484435489991303
260,vaccinated_human,274,vaccinated_human,CTDN,1.2748606495433263
260,vaccinated_human,278,vaccinated_human,CTDN,1.3780449750332477
260,vaccinated_human,282,vaccinated_human,CTDN,1.1413320130436369
260,vaccinated_human,284,vaccinated_human,CTDN,1.1453309397892193
260,vaccinated_human,286,vaccinated_human,CTDN,1.2197720019854619
